,Stock name,Sector,RSI
0,AC.PA,Consumer Cyclical,45.1
1,AI.PA,Basic Materials,47.9
2,ALO.PA,Industrials,45.9
3,CS.PA,Financial Services,52.4
4,BNP.PA,Financial Services,44.0
5,EN.PA,Industrials,40.1
6,CAP.PA,Technology,43.2
7,CA.PA,Consumer Defensive,46.2
8,ACA.PA,Financial Services,43.8
9,BN.PA,Consumer Defensive,40.8
10,EDF.PA,Utilities,47.2
11,OR.PA,Consumer Defensive,44.4
12,LR.PA,Industrials,51.8
13,MMB.PA,Consumer Cyclical,54.7
14,MC.PA,Consumer Cyclical,50.1
15,RI.PA,Consumer Defensive,40.7
16,RNO.PA,Consumer Cyclical,57.3
17,SGO.PA,Industrials,50.7
18,SAN.PA,Healthcare,59.0
19,SU.PA,Industrials,55.3
20,GLE.PA,Financial Services,52.5
21,STM.PA,Technology,39.9
22,VK.PA,Basic Materials,44.2
23,VIE.PA,Industrials,47.4
24,DG.PA,Industrials,42.5
25,VIV.PA,Communication Services,37.8
